name,is_enabled,description,comment,src_file,group,priority,confidence,criticalness,suggestion,text_recommendation,module_recommendation
rule_mpi_high_system,1,Работа с коммуникационнной сетью занимает слишком много системных ресурсов.,num_nodes > 1 AND thr_low_ib AND thr_high_cpu_system,rules_integral_based.py,inefficient_mpi,1,2,3,"Вероятно, работа с MPI сетью или сетью для ФС организована неэффективно.",1) Анализ MPI программ -> Профилировка (если проблема с MPI сетью);2) Анализ ввода/вывода (если проблема с сетью для ФС).,"mpi_profiling,io_analysis"
rule_mpi_bad_locality,1,"Задача активно работает с MPI сетью, но сетевая локальность плохая (узлы СК расположены далеко друг от друга).",num_nodes > 1 AND ((thr_high_ib_mpi OR thr_high_ib_fs) AND NOT thr_low_network_sparsity)OR (NOT (thr_low_ib_mpi OR thr_low_ib_fs) AND thr_high_network_sparsity))),rules_integral_based.py,inefficient_mpi,1,2,3,"При запуске задачи менеджером ресурсов был выбран неудачный набор узлов. Рекомендуется при необходимости явно указывать узлы, на которых будет производиться запуск проргаммы, либо пытаться оптимизировать работу с MPI.",Анализ MPI программ -> Профилировка,mpi_profiling
rule_mpi_packets,1,Размер MPI пакетов слишком маленький.,class_less_suspicious AND NOT tag_comm_data AND tag_comm_pckts,rules_tag_based.py,inefficient_network_packets,1,3,4,Накладные расходы на передачу MPI сообщений могут быть существенными.,Анализ MPI программ -> Профилировка,mpi_profiling
rule_mpi_small_packets,1,Слишком маленькие средние размеры MPI IB пакетов при достаточно высокой интенсивности использования коммуникационной сети.,num_nodes > 1 AND NOT thr_low_ib_mpi AND (avg_mpi_xmit_packets < MPI_SMALL_PACKETS OR avg_mpi_rcv_packets < MPI_SMALL_PACKETS),rules_integral_based.py,inefficient_network_packets,2,2,3,Накладные расходы на передачу MPI сообщений могут быть существенными.,Анализ MPI программ -> Профилировка (если проблема с MPI сетью),mpi_profiling
rule_fs_small_packets,1,Слишком маленькие средние размеры ФС IB пакетов при достаточно высокой интенсивности использования коммуникационной сети.,num_nodes > 1 AND NOT thr_low_ib_fs AND (avg_fs_xmit_packets < FS_SMALL_PACKETS OR avg_fs_rcv_packets < FS_SMALL_PACKETS),rules_integral_based.py,inefficient_network_packets,1,2,3,Накладные расходы на передачу MPI сообщений могут быть существенными.,Анализ ввода/вывода (если проблема с сетью для ФС).,io_analysis
rule_normal_serial,1,Последовательная задача,class_serial,rules_tag_based.py,serial_like_jobs,1,2,4,Для работы на суперкомпьютере стоит распараллелить данную задачу.,Общий анализ последовательных программ ,general_serial_analysis
rule_one_active_process,1,"В даной задаче обнаружен только 1 активный процесс на узел, при этом интенсивность использования памяти, GPU или сети невысока.",not tag_comm_data AND NOT thr_high_gpu_load AND (SERIAL_LA_MIN < loadavg.avg < SERIAL_LA_MAX)AND (NOT thr_high_mem_load AND not thr_high_mem_store),rules_integral_based.py,serial_like_jobs,1,2,3,"Вероятно, при запуске задачи указывается размещение 1 процесса на узел.",Рекомендуется запускать с большим числом процессов на узел.,---
rule_not_effective,1,"Низкая активность использования всех доступных ресурсов (процессоров, памяти, коммуникационной сети, графических ускорителей).",class_less_suspicious AND (tag_not_comm OR tag_serial OR tag_single) AND NOT tag_data_intensive,rules_tag_based.py,suspicious_and_not_communicative,1,3,4,"Причина низкой эффективности не обнаружена, требуется общий анализ.",1) Анализ динамики выполнения приложения;2) Общий анализ последовательных программ (если нет MPI);3) Анализ MPI -> Профилировка (если MPI есть).,"execution_dynamics,general_serial_analysis,mpi_profiling"
rule_bad_mem,1,Низкая активность использования вычислительных ресурсов при высокой интенсивности работы с памятью.,class_less_suspicious AND (tag_not_comm OR tag_serial OR tag_single) AND tag_data_intensive,rules_tag_based.py,suspicious_and_not_communicative,2,2,4,"Работы с памятью, вероятно, занимает слишком много времени, требуется оптимизация.",Анализ работы с памятью -> Эффективность,memory_efficiency
rule_bad_locality,1,Низкая активность работы задачи при низкой локальности обращений в память.,class_less_suspicious AND (tag_not_comm OR tag_serial OR tag_single) AND (tag_bad_locality OR tag_weird_locality)  ,rules_tag_based.py,suspicious_and_not_communicative,2,2,4,"Работы с памятью, вероятно, организована неэффективно, требуется оптимизация.",Анализ работы с памятью -> Эффективность,memory_efficiency
rule_locality,1,Высокая интенсивность работы с памятью при низкой локальности обращений в память.,class_data_intensive AND tag_bad_locality,rules_tag_based.py,suspicious_and_not_communicative,2,2,3,"Работы с памятью, вероятно, организована неэффективно, требуется оптимизация.",Анализ работы с памятью -> Эффективность,memory_efficiency
rule_cache,1,Низкая активность работы задачи при высокой интенсивности работы с памятью и низкой локальности обращений в память.,class_less_suspicious AND (tag_not_comm OR tag_serial OR tag_single) AND tag_data_intensive AND (tag_bad_locality OR tag_weird_locality)  ,rules_tag_based.py,suspicious_and_not_communicative,3,3,4,"Работы с памятью, вероятно, занимает слишком много времени и организована неэффективно, требуется оптимизация.",Анализ работы с памятью -> Эффективность,memory_efficiency
rule_interleave,1,Низкая активность работы задачи при высокой интенсивности работы с памятью и высокой локальности обращений в память.,class_less_suspicious AND (tag_not_comm OR tag_serial OR tag_single) AND tag_data_intensive AND tag_good_locality ,rules_tag_based.py,suspicious_and_not_communicative,2,2,4,"Работы с памятью занимает слишком много времени, но организована эффективно. Можно попробовать совмещать обработку данных с остальной работой в задаче (передачей данных или выполнением вычислений).",1) Анализ работы с памятью -> Эффективность»;2) Статический анализ.,"memory_efficiency,static_analysis"
rule_wrong_partition_gpu,1,"Задача запущена в разделе для GPU задач, однако практически не использует графические процессоры.",partition in GPU_PARTITIONS AND avg_gpu_load < GPU_LOAD_LOW,rules_integral_based.py,wrong_partition,1,4,4,Неправильно выбран раздел для задачи.,Рекомендуется сменить раздел.,---
rule_wrong_partition_io,1,"Задача запущена в разделе для задач с невысокими требованиям к скорости вовода/вывода, однако в этой задаче интенсивность ввода/вывода велика.",not thr_low_ib_fs AND partition in LOW_IO_PARTITIONS,rules_integral_based.py,wrong_partition,1,4,4,Неправильно выбран раздел для задачи.,Рекомендуется сменить раздел.,---
